compound_id,unique_name,source
1,13-C UREA,ES
2,"2,5-DIAMINOTOLUENO",ES
3,ABACAVIR,ES
4,LAMIVUDINA,ES
5,DOLUTEGRAVIR S,ES
6,ZIDOVUDINA,ES
7,ABALOPARATIDA,ES
8,ABATACEPT,ES
9,ABEDUL EXTRACTO SECO CORTEZA (5-10 : 1): SOLVENTE DE EXTRACCION: N-HEPTANO 95% (P/P),ES
10,ABEMACICLIB,ES
11,ABIRATERONA,ES
12,NIRAPARIB TOSILATO,ES
13,ABROCITINIB,ES
14,ACALABRUTINIB,ES
15,ACALABRUTINIB MALEATO,ES
16,ACAMPROSATO,ES
17,ACARBOSA,ES
18,ACECLOFENACO,ES
19,ACECLOFENAC,MD
20,ACEITE ETIODADO,ES
21,ACEITE LAVANDULA ANGUSTIFOLIA MILL,ES
22,ACEITE RICINO,ES
23,ACEITE ROSMARINUS OFFICINALIS,ES
24,ACEITE SEMILLA SOJA,ES
25,TRIGLICERIDOS CADENA MEDIA,ES
26,ACEITE SOJA PURIFICADO,ES
27,ACEITE OLIVA,ES
28,ACEITE  PESCADO,ES
29,TRIGLICERIDOS OMEGA-3,ES
30,ACENOCOUMAROL,MD
31,ACENOCUMAROL,ES
32,ACETATO CALCIO,ES
33,ACETATO POTASIO,ES
34,ACETATO S,ES
35,ACETAZOLAMIDA,ES
36,ACETILCISTEINA,ES
37,ACETILCOLINA,ES
38,ACETILSALICILATO LISINA,ES
39,ACETILSALICILICO ACIDO,ES
40,ASCORBICO ACIDO,ES
41,ATORVASTATINA,ES
42,RAMIPRIL,ES
43,CLOPIDOGREL HIDROGENO,ES
44,CLORFENAMINA MALEATO,ES
45,FENILEFRINA BITARTRATO,ES
46,FENILEFRINA HIDRO,ES
47,ROSUVASTATINA,ES
48,TICAGRELOR,ES
49,ACETOHIDROXAMICO ACIDO,ES
50,ACETYLCYSTEIN,MD
51,ACEXAMATO ZINC,ES
52,ACHILLEA MILLEFOLI,ES
53,ACICLOVIR,ES
54,HIDROCORTISONA,ES
55,ACIDO DIMERCAPTOSUCCINICO,ES
56,ACIDO FOLICO HIDRATO,ES
57,ACIDO FUSIDICO,ES
58,ACIDO IBANDRONICO S,ES
59,ACIDO NUCLEICO ESPECIFICO SNA-HLA I,ES
60,ACIDO NUCLEICO ESPECIFICO SNA-HLA II,ES
61,ACIDO NUCLEICO ESPECIFICO SNA-HER1,ES
62,ACIDO NUCLEICO ESPECIFICO SNA-HER2,ES
63,DESOXIRRIBONUCLEICO ACIDO,ES
64,RIBONUCLEICO ACIDO,ES
65,ACIDO ZOLEDRONICO,ES
66,ACIDOS OMEGA 3 ESTERES ETILICOS,ES
67,ACIDUM ACETIC,ES
