,source_idx,dci_name_md,matched_dci_es,atc_md,atc_es,dc_name_md,dc_name_es,manufacturer_md,manufacturer_es,fuzzy_score,atc_exact_match,atc_prefix_match,match_status,es_candidates_count
0,0,PANCREATINUM,PANCREATINA,A09AA02,A09AA02,Kreon® 10000,"KREON 35.000 U CAPSULAS DURAS GASTRORRESISTENTES, 100 cápsulas",Abbott Laboratories GmbH,Viatris Healthcare Limited,100.0,True,True,atc_exact_best_score,8
1,1,PANCREATINUM,PANCREATINA,A09AA02,A09AA02,Kreon® 25000,"KREON 35.000 U CAPSULAS DURAS GASTRORRESISTENTES, 100 cápsulas",Abbott Laboratories GmbH,Viatris Healthcare Limited,100.0,True,True,atc_exact_best_score,8
2,2,PANCREATINUM,PANCREATINA,A09AA02,A09AA02,Kreon® 10000,"KREON 35.000 U CAPSULAS DURAS GASTRORRESISTENTES, 100 cápsulas",Abbott Laboratories GmbH,Viatris Healthcare Limited,100.0,True,True,atc_exact_best_score,8
3,3,PANCREATINUM,PANCREATINA,A09AA02,A09AA02,Kreon® 25000,"KREON 35.000 U CAPSULAS DURAS GASTRORRESISTENTES, 100 cápsulas",Abbott Laboratories GmbH,Viatris Healthcare Limited,100.0,True,True,atc_exact_best_score,8
4,4,CLARITHROMYCINUM,CLARITROMICINA,J01FA09,J01FA09,Klacid® SR,"CLARITROMICINA CINFA 250 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG, 500 comprimidos","Abbott Laboratories GmbH (prod.: AbbVie S.r.l., Italia)",Laboratorios Cinfa S.A.,89.65517241379311,True,True,atc_exact_best_score,193
5,5,IBUPROFENUM,IBUPROFENO,M01AE01,M01AE01,Brufen® Rapid,"IBUPROFENO (ARGININA)  CINFA 600 mg GRANULADO PARA SOLUCION ORAL EFG , 500 sobres","Abbott Laboratories GmbH, Germania(PROD: Geltec Private Limited, India; )",Laboratorios Cinfa S.A.,100.0,True,True,atc_exact_best_score,491
6,6,IBUPROFENUM,IBUPROFENO,M01AE01,M01AE01,Brufen® Rapid,"IBUPROFENO (ARGININA)  CINFA 600 mg GRANULADO PARA SOLUCION ORAL EFG , 500 sobres","Abbott Laboratories GmbH, Germania(PROD: Geltec Private Limited, India; )",Laboratorios Cinfa S.A.,100.0,True,True,atc_exact_best_score,491
7,7,IBUPROFENUM,IBUPROFENO,M01AE01,M01AE01,Brufen® Rapid,"IBUPROFENO (ARGININA)  CINFA 600 mg GRANULADO PARA SOLUCION ORAL EFG , 500 sobres","Abbott Laboratories GmbH, Germania(PROD: Geltec Private Limited, India; )",Laboratorios Cinfa S.A.,100.0,True,True,atc_exact_best_score,491
8,8,IBUPROFENUM,IBUPROFENO,M01AE01,M01AE01,Brufen® Rapid,"IBUPROFENO (ARGININA)  CINFA 600 mg GRANULADO PARA SOLUCION ORAL EFG , 500 sobres","Abbott Laboratories GmbH, Germania(PROD: Geltec Private Limited, India; )",Laboratorios Cinfa S.A.,100.0,True,True,atc_exact_best_score,491
9,9,CETIRIZINUM,CETIRIZINA,R06AE07,R06AE07,Rinalgit 10 mg/ml,"CETIRIZINA UXA 10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG, 20 comprimidos","ABC Farmaceutici SpA (prod.: ABC Farmaceutici SpA, Italia)",Uxa Farma S.A.,100.0,True,True,atc_exact_best_score,71
