,name,source
340,13-C UREA,ES
3024,"2,5-DIAMINOTOLUENO",ES
2024,ABACAVIR,ES
3540,ABACAVIR SULFATO,ES
524,"ABACAVIR SULFATO, LAMIVUDINA",ES
1541,"ABACAVIR SULFATO, LAMIVUDINA, DOLUTEGRAVIR SODIO",ES
1084,"ABACAVIR SULFATO, LAMIVUDINA, ZIDOVUDINA",ES
1704,"ABACAVIR, LAMIVUDINA",ES
3264,ABALOPARATIDA,ES
799,ABATACEPT,ES
3304,ABEDUL EXTRACTO SECO CORTEZA (5-10 : 1): SOLVENTE DE EXTRACCION: N-HEPTANO 95% (P/P),ES
1932,ABEMACICLIB,ES
1227,ABIRATERONA ACETATO,ES
3217,"ABIRATERONA ACETATO, NIRAPARIB TOSILATO MONOHIDRATO",ES
2196,ABROCITINIB,ES
2102,ACALABRUTINIB,ES
3238,ACALABRUTINIB MALEATO,ES
1179,ACAMPROSATO,ES
932,ACARBOSA,ES
55,ACECLOFENACO,ES
34,ACECLOFENACUM,MD
3296,ACEITE ETIODADO,ES
1988,ACEITE LAVANDULA ANGUSTIFOLIA MILL,ES
3597,ACEITE RICINO,ES
1726,ACEITE ROSMARINUS OFFICINALIS,ES
3684,"ACEITE SEMILLA SOJA, TRIGLICERIDOS CADENA MEDIA",ES
266,ACEITE SOJA PURIFICADO,ES
325,"ACEITE SOJA PURIFICADO, ACEITE OLIVA",ES
19,"ACEITE SOJA PURIFICADO, ACEITE OLIVA, TRIGLICERIDOS CADENA MEDIA, ACEITE  PESCADO",ES
565,"ACEITE SOJA PURIFICADO, TRIGLICERIDOS CADENA MEDIA, TRIGLICERIDOS OMEGA-3",ES
155,ACENOCOUMAROLUM,MD
250,ACENOCUMAROL,ES
1236,ACETATO CALCIO,ES
417,ACETATO POTASIO,ES
32,ACETATO SODIO,ES
2666,ACETAZOLAMIDA,ES
1,ACETILCISTEINA,ES
3670,ACETILCOLINA CLORURO,ES
95,ACETILSALICILATO LISINA,ES
216,ACETILSALICILICO ACIDO,ES
587,"ACETILSALICILICO ACIDO, ASCORBICO ACIDO",ES
1497,"ACETILSALICILICO ACIDO, ATORVASTATINA CALCICA TRIHIDRATO, RAMIPRIL",ES
3444,"ACETILSALICILICO ACIDO, CLOPIDOGREL HIDROGENOSULFATO",ES
1662,"ACETILSALICILICO ACIDO, CLORFENAMINA MALEATO, FENILEFRINA BITARTRATO",ES
1199,"ACETILSALICILICO ACIDO, CLORFENAMINA MALEATO, FENILEFRINA HIDROCLORURO",ES
2090,"ACETILSALICILICO ACIDO, ROSUVASTATINA  CALCICA",ES
408,"ACETILSALICILICO ACIDO, TICAGRELOR",ES
1433,ACETOHIDROXAMICO ACIDO,ES
35,ACETYLCYSTEINUM,MD
1357,ACEXAMATO ZINC,ES
