Cod DCI,Denumirea Comuna Internationala (DCI),Cod DCI_sec,Denumirea comună internațională (DCI),Cod DC,Cod DC_sec,Denumirea comercială (DC),Cod ATC,coverage_type,Grupa maladiilor pentru compensare,"Cod CIM 
de diagnostic/limitare indicație",Firma producătoare,Ţara
060,ACECLOFENACUM,,ACECLOFENACUM,0601001,,Aceclofenac-BP,M01AB16,Partial,Pentru tratamentul maladiilor aparatului locomotor,"M069-Artrita reumatoida, fara precizare
M199-Artroza, fara precizare","Balkan Pharmaceuticals SRL, SC",Republica Moldova
060,ACECLOFENACUM,,ACECLOFENACUM,0601001,,Aceclofenac-BP,M01AB16,Partial,Pentru tratamentul maladiilor aparatului locomotor,"M069-Artrita reumatoida, fara precizare
M109-Guta, fara precizare","Balkan Pharmaceuticals SRL, SC",Republica Moldova
060,ACECLOFENACUM,,ACECLOFENACUM,0601002,,Airtal,M01AB16,Partial,Pentru tratamentul maladiilor aparatului locomotor,"M069-Artrita reumatoida, fara precizare
M199-Artroza, fara precizare",Gedeon Richter PLC,Ungaria
060,ACECLOFENACUM,,ACECLOFENACUM,0601002,,Airtal,M01AB16,Partial,Pentru tratamentul maladiilor aparatului locomotor,"M069-Artrita reumatoida, fara precizare
M109-Guta, fara precizare",Gedeon Richter PLC,Ungaria
060,ACECLOFENACUM,,ACECLOFENACUM,0601004,,Infenac,M01AB16,Partial,Pentru tratamentul maladiilor aparatului locomotor,"M069-Artrita reumatoida, fara precizare
M199-Artroza, fara precizare","Tulip Lab Private Limited, India(PROD: Tulip Lab Pvt. Ltd., India; )",India
060,ACECLOFENACUM,,ACECLOFENACUM,0601004,,Infenac,M01AB16,Partial,Pentru tratamentul maladiilor aparatului locomotor,"M069-Artrita reumatoida, fara precizare
M109-Guta, fara precizare","Tulip Lab Private Limited, India(PROD: Tulip Lab Pvt. Ltd., India; )",India
060,ACECLOFENACUM,,ACECLOFENACUM,0601005,,Diclotol®,M01AB16,Partial,Pentru tratamentul maladiilor aparatului locomotor,"M069-Artrita reumatoida, fara precizare
M199-Artroza, fara precizare","Kusum Healthcare Pvt.Ltd, India(PROD: Kusum Healthcare Pvt.Ltd, India; )",India
060,ACECLOFENACUM,,ACECLOFENACUM,0601005,,Diclotol®,M01AB16,Partial,Pentru tratamentul maladiilor aparatului locomotor,"M069-Artrita reumatoida, fara precizare
M109-Guta, fara precizare","Kusum Healthcare Pvt.Ltd, India(PROD: Kusum Healthcare Pvt.Ltd, India; )",India
819,ACECLOFENACUM,,ACECLOFENACUM,8191001,,Aceclofenac-BP,M01AB16,Full,pentru tratamentul episodic,"M069-Artrita reumatoida, fara precizare
M199-Artroza, fara precizare","Balkan Pharmaceuticals SRL, SC",Republica Moldova
819,ACECLOFENACUM,,ACECLOFENACUM,8191001,,Aceclofenac-BP,M01AB16,Full,pentru tratamentul episodic,"M069-Artrita reumatoida, fara precizare
M109-Guta, fara precizare","Balkan Pharmaceuticals SRL, SC",Republica Moldova
819,ACECLOFENACUM,,ACECLOFENACUM,8191002,,Airtal,M01AB16,Full,pentru tratamentul episodic,"M069-Artrita reumatoida, fara precizare
M199-Artroza, fara precizare",Gedeon Richter PLC,Ungaria
819,ACECLOFENACUM,,ACECLOFENACUM,8191002,,Airtal,M01AB16,Full,pentru tratamentul episodic,"M069-Artrita reumatoida, fara precizare
M109-Guta, fara precizare",Gedeon Richter PLC,Ungaria
819,ACECLOFENACUM,,ACECLOFENACUM,8191005,,Diclotol®,M01AB16,Full,pentru tratamentul episodic,"M069-Artrita reumatoida, fara precizare
M199-Artroza, fara precizare","Kusum Healthcare Pvt.Ltd, India(PROD: Kusum Healthcare Pvt.Ltd, India; )",India
819,ACECLOFENACUM,,ACECLOFENACUM,8191005,,Diclotol®,M01AB16,Full,pentru tratamentul episodic,"M069-Artrita reumatoida, fara precizare
M109-Guta, fara precizare","Kusum Healthcare Pvt.Ltd, India(PROD: Kusum Healthcare Pvt.Ltd, India; )",India
030,ACENOCOUMAROLUM,,ACENOCOUMAROLUM,0301001,,Trombostop®,B01AA07,Partial,Pentru tratamentul maladiilor cardiovasculare,"I209-Angina pectorala,fara alta precizare
I219-Infarct miocardic acut,fara alte precizare
I249-Cardiopatie ischemica acuta,fara alta specificare
I252-Infarct miocardic vechi
I259-Cardiopatie ischemica cronica,fara alta specificare","S.C.Terapia S.A., România(PROD: S.C.Terapia S.A., România; )",România
,ACETYLCYSTEINUM,901,ACETYLCYSTEINUM,,9012003,Acetilcistein-BP,R05CB01,Full,pentru tratamentul episodic,"J40-Bronsita neprecizata ca acuta sau cronica
J189-Pneumonie fara precizare","SC Balkan Pharmaceuticals SRL, Republica Moldova(PROD: SC Balkan Pharmaceuticals SRL, Republica Moldova; )",Republica Moldova
,ACETYLCYSTEINUM,901,ACETYLCYSTEINUM,,9012003,Acetilcistein-BP,R05CB01,Full,pentru tratamentul episodic,"J40-Bronsita neprecizata ca acuta sau cronica
J189-Pneumonie fara precizare","SC Balkan Pharmaceuticals SRL, Republica Moldova(PROD: SC Balkan Pharmaceuticals SRL, Republica Moldova; )",Republica Moldova
,ACETYLCYSTEINUM,901,ACETYLCYSTEINUM,,9013004,Fluimucil®,R05CB01,Full,pentru tratamentul episodic,"J40-Bronsita neprecizata ca acuta sau cronica
J189-Pneumonie fara precizare","Zambon Switzerland Ltd., Elveţia(PROD: Zambon Switzerland Ltd., Elveţia; )",Elveţia
,ACETYLCYSTEINUM,901,ACETYLCYSTEINUM,,9013004,Fluimucil®,R05CB01,Full,pentru tratamentul episodic,"J40-Bronsita neprecizata ca acuta sau cronica
J189-Pneumonie fara precizare","Zambon Switzerland Ltd., Elveţia(PROD: Zambon Switzerland Ltd., Elveţia; )",Elveţia
,ACETYLCYSTEINUM,901,ACETYLCYSTEINUM,,9013005,Acetilcisteină Rompharm,R05CB01,Full,pentru tratamentul episodic,"J40-Bronsita neprecizata ca acuta sau cronica
J189-Pneumonie fara precizare","S.C. Rompharm Company S.R.L., România(PROD: S.C. Rompharm Company S.R.L., România; )",România
,ACETYLCYSTEINUM,901,ACETYLCYSTEINUM,,9013005,Acetilcisteină Rompharm,R05CB01,Full,pentru tratamentul episodic,"J40-Bronsita neprecizata ca acuta sau cronica
J189-Pneumonie fara precizare","S.C. Rompharm Company S.R.L., România(PROD: S.C. Rompharm Company S.R.L., România; )",România
,ACETYLCYSTEINUM,901,ACETYLCYSTEINUM,,9013006,Acetilcisteină Zentiva,R05CB01,Full,pentru tratamentul episodic,"J40-Bronsita neprecizata ca acuta sau cronica
J189-Pneumonie fara precizare","Zentiva k.s., Republica Cehă(PROD: E-Pharma Trento S.p.A., Italia; )",Republica Cehă
,ACETYLCYSTEINUM,901,ACETYLCYSTEINUM,,9013006,Acetilcisteină Zentiva,R05CB01,Full,pentru tratamentul episodic,"J40-Bronsita neprecizata ca acuta sau cronica
J189-Pneumonie fara precizare","Zentiva k.s., Republica Cehă(PROD: E-Pharma Trento S.p.A., Italia; )",Republica Cehă
,ACETYLCYSTEINUM,901,ACETYLCYSTEINUM,,9014002,Bronhoclean,R05CB01,Full,pentru tratamentul episodic,"J40-Bronsita neprecizata ca acuta sau cronica
J189-Pneumonie fara precizare","SC Balkan Pharmaceuticals SRL, Republica Moldova(PROD: SC Balkan Pharmaceuticals SRL, Republica Moldova; )",Republica Moldova
,ACETYLCYSTEINUM,901,ACETYLCYSTEINUM,,9014002,Bronhoclean,R05CB01,Full,pentru tratamentul episodic,"J40-Bronsita neprecizata ca acuta sau cronica
J189-Pneumonie fara precizare","SC Balkan Pharmaceuticals SRL, Republica Moldova(PROD: SC Balkan Pharmaceuticals SRL, Republica Moldova; )",Republica Moldova
,ACETYLCYSTEINUM,901,ACETYLCYSTEINUM,,9015001,Fluimucil®,R05CB01,Full,pentru tratamentul episodic,"J40-Bronsita neprecizata ca acuta sau cronica
J189-Pneumonie fara precizare","Zambon S.P.A., Italia(PROD: Zambon Switzerland Ltd., Elveţia; )",Italia
,ACETYLCYSTEINUM,901,ACETYLCYSTEINUM,,9015001,Fluimucil®,R05CB01,Full,pentru tratamentul episodic,"J40-Bronsita neprecizata ca acuta sau cronica
J189-Pneumonie fara precizare","Zambon S.P.A., Italia(PROD: Zambon Switzerland Ltd., Elveţia; )",Italia
,ACETYLCYSTEINUM,901,ACETYLCYSTEINUM,,9015003,Bronhoclean,R05CB01,Full,pentru tratamentul episodic,"J40-Bronsita neprecizata ca acuta sau cronica
J189-Pneumonie fara precizare","Balkan Pharmaceuticals SRL, SC",Republica Moldova
,ACETYLCYSTEINUM,901,ACETYLCYSTEINUM,,9015003,Bronhoclean,R05CB01,Full,pentru tratamentul episodic,"J40-Bronsita neprecizata ca acuta sau cronica
J189-Pneumonie fara precizare","Balkan Pharmaceuticals SRL, SC",Republica Moldova
,ACETYLCYSTEINUM,901,ACETYLCYSTEINUM,,9016001,Asist® Plus,R05CB01,Full,pentru tratamentul episodic,"J40-Bronsita neprecizata ca acuta sau cronica
J189-Pneumonie fara precizare",Bilim Pharmaceuticals AS,Turcia
,ACETYLCYSTEINUM,901,ACETYLCYSTEINUM,,9016001,Asist® Plus,R05CB01,Full,pentru tratamentul episodic,"J40-Bronsita neprecizata ca acuta sau cronica
J189-Pneumonie fara precizare",Bilim Pharmaceuticals AS,Turcia
,ACETYLCYSTEINUM,901,ACETYLCYSTEINUM,,9016002,Bronhoclean,R05CB01,Full,pentru tratamentul episodic,"J40-Bronsita neprecizata ca acuta sau cronica
J189-Pneumonie fara precizare","SC Balkan Pharmaceuticals SRL, Republica Moldova(PROD: SC Balkan Pharmaceuticals SRL, Republica Moldova; )",Republica Moldova
,ACETYLCYSTEINUM,901,ACETYLCYSTEINUM,,9016002,Bronhoclean,R05CB01,Full,pentru tratamentul episodic,"J40-Bronsita neprecizata ca acuta sau cronica
J189-Pneumonie fara precizare","SC Balkan Pharmaceuticals SRL, Republica Moldova(PROD: SC Balkan Pharmaceuticals SRL, Republica Moldova; )",Republica Moldova
,ACETYLCYSTEINUM,901,ACETYLCYSTEINUM,,9017001,Ingamist,R05CB01,Full,pentru tratamentul episodic,"J40-Bronsita neprecizata ca acuta sau cronica
J189-Pneumonie fara precizare","Iuria-Farm SRL, Ucraina(PROD: Iuria-Farm SRL, Ucraina; )",Ucraina
,ACETYLCYSTEINUM,901,ACETYLCYSTEINUM,,9017001,Ingamist,R05CB01,Full,pentru tratamentul episodic,"J40-Bronsita neprecizata ca acuta sau cronica
J189-Pneumonie fara precizare","Iuria-Farm SRL, Ucraina(PROD: Iuria-Farm SRL, Ucraina; )",Ucraina
,ACETYLCYSTEINUM,901,ACETYLCYSTEINUM,,9017002,Asibrox,R05CB01,Full,pentru tratamentul episodic,"J40-Bronsita neprecizata ca acuta sau cronica
J189-Pneumonie fara precizare","World Medicine LTD, Georgia(PROD: Mefar Ilac Sanayii  A.S., Turcia; )",Georgia
,ACETYLCYSTEINUM,901,ACETYLCYSTEINUM,,9017002,Asibrox,R05CB01,Full,pentru tratamentul episodic,"J40-Bronsita neprecizata ca acuta sau cronica
J189-Pneumonie fara precizare","World Medicine LTD, Georgia(PROD: Mefar Ilac Sanayii  A.S., Turcia; )",Georgia
,ACETYLCYSTEINUM,901,ACETYLCYSTEINUM,,9017002,Asibrox,R05CB01,Full,pentru tratamentul episodic,"J40-Bronsita neprecizata ca acuta sau cronica
J189-Pneumonie fara precizare","World Medicine LTD, Georgia(PROD: Mefar Ilac Sanayii  A.S., Turcia; )",Georgia
,ACETYLCYSTEINUM,901,ACETYLCYSTEINUM,,9017002,Asibrox,R05CB01,Full,pentru tratamentul episodic,"J40-Bronsita neprecizata ca acuta sau cronica
J189-Pneumonie fara precizare","World Medicine LTD, Georgia(PROD: Mefar Ilac Sanayii  A.S., Turcia; )",Georgia
,ACETYLCYSTEINUM,901,ACETYLCYSTEINUM,,9017003,Fluimucil®,R05CB01,Full,pentru tratamentul episodic,"J40-Bronsita neprecizata ca acuta sau cronica
J189-Pneumonie fara precizare","Zambon S.P.A., Italia(PROD: Zambon S.p.A., Italia; )",Italia
,ACETYLCYSTEINUM,901,ACETYLCYSTEINUM,,9017003,Fluimucil®,R05CB01,Full,pentru tratamentul episodic,"J40-Bronsita neprecizata ca acuta sau cronica
J189-Pneumonie fara precizare","Zambon S.P.A., Italia(PROD: Zambon S.p.A., Italia; )",Italia
011,ACIDUM ACETYLSALICYLICUM,,,0111008,,ASK,B01AC06,Partial,Pentru tratamentul maladiilor cardiovasculare,,Lekfarm SRL,Republica Belarus
011,ACIDUM ACETYLSALICYLICUM,,,0111008,,ASK,B01AC06,Partial,Pentru tratamentul maladiilor cardiovasculare,,Lekfarm SRL,Republica Belarus
011,ACIDUM ACETYLSALICYLICUM,,,0111011,,Cardiomagnyl,B01AC06,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Takeda Pharma A/S (prod.: Takeda GmbH, Germania; Takeda Pharma A/S, Danemarca; Takeda Pharma Sp. z o.o., Polonia)",Danemarca
011,ACIDUM ACETYLSALICYLICUM,,,0111016,,Acard®,B01AC06,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Pharmaceutical Works Polpharma S.A., Polonia; Pharmaceutical Works Polpharma S.A., Polonia",Polonia
011,ACIDUM ACETYLSALICYLICUM,,,0111016,,Acard®,B01AC06,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Pharmaceutical Works Polpharma S.A., Polonia; Pharmaceutical Works Polpharma S.A., Polonia",Polonia
011,ACIDUM ACETYLSALICYLICUM,,,0111017,,Sanocard,B01AC06,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Balkan Pharmaceuticals SRL, SC",Republica Moldova
