Cod DCI,Denumirea Comuna Internationala (DCI),Cod DCI_sec,Denumirea comună internațională (DCI),Cod DC,Cod DC_sec,Denumirea comercială (DC),Cod ATC,coverage_type,Grupa maladiilor pentru compensare,"Cod CIM 
de diagnostic/limitare indicație",Firma producătoare,manufacturer_label,Ţara
37,PANCREATINUM,,,373002,,Kreon® 10000,A09AA02,Full,Pentru tratamentul mucoviscidozei,,Abbott Laboratories GmbH,Abbott Laboratories,Germania
37,PANCREATINUM,,,375004,,Kreon® 25000,A09AA02,Full,Pentru tratamentul mucoviscidozei,,Abbott Laboratories GmbH,Abbott Laboratories,Germania
,PANCREATINUM,237,,,2373002,Kreon® 10000,A09AA02,Full,pentru tratamentul episodic,,Abbott Laboratories GmbH,Abbott Laboratories,Germania
,PANCREATINUM,237,,,2375004,Kreon® 25000,A09AA02,Full,pentru tratamentul episodic,,Abbott Laboratories GmbH,Abbott Laboratories,Germania
33,CLARITHROMYCINUM,919,,331011,9191011,Klacid® SR,J01FA09,Full,pentru tratamentul episodic,,"Abbott Laboratories GmbH (prod.: AbbVie S.r.l., Italia)",Abbott Laboratories,Germania
,IBUPROFENUM,997,,,9972004,Brufen® Rapid,M01AE01,Full,pentru tratamentul episodic,,"Abbott Laboratories GmbH, Germania(PROD: Geltec Private Limited, India; )",Abbott Laboratories,Germania
,IBUPROFENUM,997,,,9976004,Brufen® Rapid,M01AE01,Full,pentru tratamentul episodic,,"Abbott Laboratories GmbH, Germania(PROD: Geltec Private Limited, India; )",Abbott Laboratories,Germania
414,IBUPROFENUM,,,4142004,,Brufen® Rapid,M01AE01,Full,Pentru tratamentul în Îngrijiri paliative,,"Abbott Laboratories GmbH, Germania(PROD: Geltec Private Limited, India; )",Abbott Laboratories,Germania
414,IBUPROFENUM,,,4146004,,Brufen® Rapid,M01AE01,Full,Pentru tratamentul în Îngrijiri paliative,,"Abbott Laboratories GmbH, Germania(PROD: Geltec Private Limited, India; )",Abbott Laboratories,Germania
998,CETIRIZINUM,,,9983006,,Rinalgit 10 mg/ml,R06AE07,Full,Pentru tratamentul epidermolizei buloase,,"ABC Farmaceutici SpA (prod.: ABC Farmaceutici SpA, Italia)",ABC Farmaceutici,Italia
,CETIRIZINUM,903,,,9031005,Rinalgit 10 mg/ml,R06AE07,Full,pentru tratamentul episodic (rinite alergice sezoniere și perene),,"ABC Farmaceutici SpA (prod.: ABC Farmaceutici SpA, Italia)",ABC Farmaceutici,Italia
998,CETIRIZINUM,,,9982008,,Rinalgit 10 mg,R06AE07,Full,Pentru tratamentul epidermolizei buloase,,"ABC Farmaceutici SpA, Italia(PROD: ABC Farmaceutici SpA, Italia; )",ABC Farmaceutici,Italia
,CETIRIZINUM,903,,,9031003,Rinalgit 10 mg,R06AE07,Full,pentru tratamentul episodic (rinite alergice sezoniere și perene),,"ABC Farmaceutici SpA, Italia(PROD: ABC Farmaceutici SpA, Italia; )",ABC Farmaceutici,Italia
400,ACIDUM ACETYLSALICYLICUM,,,4004002,,Cardiomagnyl,B01AC06,Full,Pentru tratamentul în Îngrijiri paliative,,"Acino Pharma AG, Elveţia(PROD: Takeda GmbH, Germania; ,Takeda Pharma A/S, Danemarca; ,Takeda Pharma Sp. z o.o., Polonia; )",Acino,Elveţia
81,AMLODIPINUM+VALSARTANUM,,,811002,,Difors,C09DB01,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Acino Ucraina SRL, Ucraina(PROD: Pharma Start SRL, Ucraina; )",Acino,Ucraina
