CodDiagnostic,DenDiagnostic,DenSubClasaDiagnostic,DenClasaDiagnostic
A000,"Holera cu Vibrio cholerae,biovar cholerae",Boli infectioase intestinale,Boli infectioase si parazitare
A001,"Holera cu Vibrio cholerae eltor,biovar eltor",Boli infectioase intestinale,Boli infectioase si parazitare
A009,"Holera, fara precizare",Boli infectioase intestinale,Boli infectioase si parazitare
A010,Febra tifoida,Boli infectioase intestinale,Boli infectioase si parazitare
A011,Paratifosul A,Boli infectioase intestinale,Boli infectioase si parazitare
A012,Paratifosul B,Boli infectioase intestinale,Boli infectioase si parazitare
A013,Paratifosul C,Boli infectioase intestinale,Boli infectioase si parazitare
A014,"Paratifos, fara precizare",Boli infectioase intestinale,Boli infectioase si parazitare
A020,Enterita cu Salmonella,Boli infectioase intestinale,Boli infectioase si parazitare
A021,Septicemia cu Salmonella,Boli infectioase intestinale,Boli infectioase si parazitare
A022+,Infectia localizata cu Salmonella,Boli infectioase intestinale,Boli infectioase si parazitare
A028,Alte infectii precizate prin Salmonella,Boli infectioase intestinale,Boli infectioase si parazitare
A029,"Salmonelloze, fara precizare",Boli infectioase intestinale,Boli infectioase si parazitare
A030,Shigelloza cu Shigella dyzenteriae,Boli infectioase intestinale,Boli infectioase si parazitare
A031,Shigelloza cu Shigella flexneri,Boli infectioase intestinale,Boli infectioase si parazitare
A032,Shigelloza cu Shigella boydii,Boli infectioase intestinale,Boli infectioase si parazitare
A033,Shigelloza cu Shigella sonnei,Boli infectioase intestinale,Boli infectioase si parazitare
A038,Alte shigelloze,Boli infectioase intestinale,Boli infectioase si parazitare
A039,"Shigelloza, fara precizare",Boli infectioase intestinale,Boli infectioase si parazitare
A040,Infectia enteropatogena prin Escherichia coli patogen,Boli infectioase intestinale,Boli infectioase si parazitare
A041,Infectia enterotoxigena prin Escherichia coli toxigen,Boli infectioase intestinale,Boli infectioase si parazitare
A042,Infectia enteroinvaziva prin Escherichia coli,Boli infectioase intestinale,Boli infectioase si parazitare
A043,Infectia enterohemoragica prin Escherichia coli,Boli infectioase intestinale,Boli infectioase si parazitare
A044,Alte infectii intestinale prin Escherichia coli,Boli infectioase intestinale,Boli infectioase si parazitare
A045,Enterita prin Campylobacter,Boli infectioase intestinale,Boli infectioase si parazitare
A046,Enterita prin Yersinia enterocolitica,Boli infectioase intestinale,Boli infectioase si parazitare
A047,Enterocolita prin Clostridium difficile,Boli infectioase intestinale,Boli infectioase si parazitare
A048,"Alte infectii intestinale bacteriene - Alte infectii intestinale, precizate",Boli infectioase intestinale,Boli infectioase si parazitare
A049,"Infectia intestinala bacteriana, fara precizare",Boli infectioase intestinale,Boli infectioase si parazitare
